tracker_a,tracker_b,shared_sites
stats.g.doubleclick.net,id.rlcdn.com,3
c.bing.com,ad.doubleclick.net,3
play.google.com,ad.doubleclick.net,3
stats.g.doubleclick.net,cm.everesttech.net,3
analytics.google.com,ad.doubleclick.net,3
c.bing.com,analytics.google.com,3
www.google.com.pk,id.rlcdn.com,3
www.google-analytics.com,dpm.demdex.net,3
dpm.demdex.net,connect.facebook.net,3
cm.g.doubleclick.net,analytics.google.com,3
www.google-analytics.com,www.clarity.ms,3
www.google.com.pk,www.clarity.ms,3
www.google.com.pk,s.clarity.ms,3
www.google.com.pk,ad.doubleclick.net,3
dpm.demdex.net,analytics.google.com,3
www.google-analytics.com,c.bing.com,3
www.google-analytics.com,cm.everesttech.net,2
connect.facebook.net,us-u.openx.net,2
connect.facebook.net,jadserve.postrelease.com,2
www.google-analytics.com,sync.crwdcntrl.net,2
browser.events.data.microsoft.com,ad.doubleclick.net,2
play.google.com,px.ads.linkedin.com,2
play.google.com,c.bing.com,2
analytics.google.com,sync.crwdcntrl.net,2
analytics.google.com,scripts.clarity.ms,2
stats.g.doubleclick.net,www.clarity.ms,2
stats.g.doubleclick.net,analytics.twitter.com,2
connect.facebook.net,idsync.rlcdn.com,2
www.google.com.pk,us-u.openx.net,2
www.google-analytics.com,ib.adnxs.com,2
www.google.com.pk,analytics.twitter.com,2
pixel.rubiconproject.com,analytics.google.com,2
ib.adnxs.com,analytics.google.com,2
www.google.com.pk,jadserve.postrelease.com,2
www.google-analytics.com,pixel.rubiconproject.com,2
www.google-analytics.com,cm.g.doubleclick.net,2
www.google.com.pk,idsync.rlcdn.com,2
www.google-analytics.com,idsync.rlcdn.com,2
stats.g.doubleclick.net,s.clarity.ms,2
stats.g.doubleclick.net,scripts.clarity.ms,2
stats.g.doubleclick.net,sync.crwdcntrl.net,2
ad.doubleclick.net,us-u.openx.net,2
ad.doubleclick.net,jadserve.postrelease.com,2
play.google.com,connect.facebook.net,2
browser.events.data.microsoft.com,connect.facebook.net,2
analytics.google.com,cm.everesttech.net,2
www.clarity.ms,analytics.google.com,2
analytics.google.com,s.clarity.ms,2
analytics.google.com,analytics.twitter.com,2
dsum-sec.casalemedia.com,analytics.google.com,2
www.google-analytics.com,jadserve.postrelease.com,1
scripts.clarity.ms,ad.doubleclick.net,1
www.google-analytics.com,browser.events.data.microsoft.com,1
connect.facebook.net,id.rlcdn.com,1
www.google.com.pk,browser.events.data.microsoft.com,1
www.google-analytics.com,us-u.openx.net,1
www.google-analytics.com,dsum-sec.casalemedia.com,1
www.clarity.ms,ad.doubleclick.net,1
analytics.google.com,jadserve.postrelease.com,1
play.google.com,cm.g.doubleclick.net,1
